tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
2021-10-02,DKI1 (Bunderan HI),99.0,67.0,32.0,11.0,30.0,35.0,99.0,PM25,SEDANG
2021-10-03,DKI1 (Bunderan HI),85.0,70.0,29.0,10.0,28.0,28.0,85.0,PM25,SEDANG
2021-10-04,DKI1 (Bunderan HI),82.0,58.0,30.0,11.0,34.0,29.0,82.0,PM25,SEDANG
2021-10-05,DKI1 (Bunderan HI),76.0,55.0,29.0,11.0,30.0,33.0,76.0,PM25,SEDANG
2021-10-06,DKI1 (Bunderan HI),83.0,60.0,38.0,10.0,26.0,35.0,83.0,PM25,SEDANG
2021-10-07,DKI1 (Bunderan HI),62.0,45.0,29.0,9.0,21.0,28.0,62.0,PM25,SEDANG
2021-10-08,DKI1 (Bunderan HI),77.0,54.0,33.0,11.0,24.0,35.0,77.0,PM25,SEDANG
2021-10-09,DKI1 (Bunderan HI),69.0,52.0,27.0,9.0,32.0,29.0,69.0,PM25,SEDANG
2021-10-10,DKI1 (Bunderan HI),83.0,58.0,26.0,9.0,38.0,26.0,83.0,PM25,SEDANG
2021-10-11,DKI1 (Bunderan HI),80.0,59.0,29.0,10.0,35.0,30.0,80.0,PM25,SEDANG
2021-10-12,DKI1 (Bunderan HI),76.0,56.0,37.0,9.0,23.0,35.0,76.0,PM25,SEDANG
2021-10-13,DKI1 (Bunderan HI),67.0,52.0,28.0,8.0,25.0,31.0,67.0,PM25,SEDANG
2021-10-14,DKI1 (Bunderan HI),90.0,64.0,33.0,11.0,35.0,35.0,90.0,PM25,SEDANG
2021-10-15,DKI1 (Bunderan HI),106.0,75.0,29.0,12.0,34.0,37.0,106.0,PM25,TIDAK SEHAT
2021-10-16,DKI1 (Bunderan HI),95.0,66.0,28.0,15.0,32.0,44.0,95.0,PM25,SEDANG
2021-10-17,DKI1 (Bunderan HI),93.0,65.0,34.0,11.0,36.0,30.0,93.0,PM25,SEDANG
2021-10-18,DKI1 (Bunderan HI),55.0,44.0,25.0,9.0,19.0,26.0,55.0,PM25,SEDANG
2021-10-19,DKI1 (Bunderan HI),58.0,41.0,29.0,14.0,15.0,30.0,58.0,PM25,SEDANG
2021-10-20,DKI1 (Bunderan HI),53.0,33.0,29.0,10.0,21.0,27.0,53.0,PM25,SEDANG
2021-10-21,DKI1 (Bunderan HI),65.0,45.0,25.0,9.0,28.0,32.0,65.0,PM25,SEDANG
2021-10-22,DKI1 (Bunderan HI),95.0,64.0,31.0,18.0,19.0,48.0,95.0,PM25,SEDANG
2021-10-23,DKI1 (Bunderan HI),83.0,57.0,29.0,10.0,20.0,36.0,83.0,PM25,SEDANG
2021-10-24,DKI1 (Bunderan HI),85.0,58.0,27.0,11.0,28.0,36.0,85.0,PM25,SEDANG
2021-10-25,DKI1 (Bunderan HI),95.0,62.0,27.0,14.0,33.0,37.0,95.0,PM25,SEDANG
2021-10-26,DKI1 (Bunderan HI),78.0,55.0,29.0,14.0,23.0,43.0,78.0,PM25,SEDANG
2021-10-27,DKI1 (Bunderan HI),76.0,55.0,29.0,15.0,22.0,39.0,76.0,PM25,SEDANG
2021-10-28,DKI1 (Bunderan HI),69.0,51.0,28.0,16.0,22.0,39.0,69.0,PM25,SEDANG
2021-10-29,DKI1 (Bunderan HI),64.0,50.0,31.0,19.0,18.0,35.0,64.0,PM25,SEDANG
2021-10-30,DKI1 (Bunderan HI),68.0,48.0,31.0,12.0,25.0,40.0,68.0,PM25,SEDANG
2021-10-31,DKI1 (Bunderan HI),70.0,53.0,27.0,11.0,32.0,32.0,70.0,PM25,SEDANG
2021-11-01,DKI1 (Bunderan HI),85.0,58.0,32.0,16.0,22.0,41.0,85.0,PM25,SEDANG
2021-11-02,DKI1 (Bunderan HI),63.0,50.0,29.0,14.0,22.0,35.0,63.0,PM25,SEDANG
2021-11-03,DKI1 (Bunderan HI),63.0,49.0,33.0,13.0,21.0,38.0,63.0,PM25,SEDANG
2021-11-04,DKI1 (Bunderan HI),83.0,57.0,30.0,17.0,34.0,47.0,83.0,PM25,SEDANG
2021-11-05,DKI1 (Bunderan HI),75.0,56.0,31.0,19.0,18.0,46.0,75.0,PM25,SEDANG
2021-11-06,DKI1 (Bunderan HI),72.0,55.0,30.0,13.0,22.0,40.0,72.0,PM25,SEDANG
2021-11-07,DKI1 (Bunderan HI),56.0,38.0,27.0,8.0,23.0,25.0,56.0,PM25,SEDANG
2021-11-08,DKI1 (Bunderan HI),55.0,38.0,29.0,18.0,15.0,32.0,55.0,PM25,SEDANG
2021-11-09,DKI1 (Bunderan HI),73.0,55.0,32.0,14.0,17.0,38.0,73.0,PM25,SEDANG
2021-11-10,DKI1 (Bunderan HI),55.0,38.0,28.0,10.0,16.0,25.0,55.0,PM25,SEDANG
2021-11-11,DKI1 (Bunderan HI),55.0,41.0,48.0,12.0,13.0,15.0,55.0,PM25,SEDANG
2021-11-12,DKI1 (Bunderan HI),49.0,32.0,31.0,10.0,16.0,9.0,49.0,PM25,BAIK
2021-11-13,DKI1 (Bunderan HI),70.0,51.0,36.0,16.0,27.0,12.0,70.0,PM25,SEDANG
2021-11-14,DKI1 (Bunderan HI),53.0,42.0,29.0,11.0,18.0,7.0,53.0,PM25,SEDANG
2021-11-15,DKI1 (Bunderan HI),39.0,27.0,30.0,8.0,16.0,7.0,39.0,PM25,BAIK
2021-11-16,DKI1 (Bunderan HI),47.0,31.0,31.0,8.0,11.0,6.0,47.0,PM25,BAIK
2021-11-17,DKI1 (Bunderan HI),71.0,55.0,50.0,13.0,15.0,9.0,71.0,PM25,SEDANG
2021-11-18,DKI1 (Bunderan HI),75.0,55.0,43.0,18.0,19.0,13.0,75.0,PM25,SEDANG
2021-11-19,DKI1 (Bunderan HI),40.0,28.0,31.0,7.0,16.0,5.0,40.0,PM25,BAIK
2021-11-20,DKI1 (Bunderan HI),44.0,28.0,33.0,7.0,13.0,6.0,44.0,PM25,BAIK
2021-11-21,DKI1 (Bunderan HI),54.0,41.0,33.0,15.0,16.0,6.0,54.0,PM25,SEDANG
2021-11-22,DKI1 (Bunderan HI),33.0,27.0,32.0,7.0,14.0,5.0,33.0,PM25,BAIK
2021-11-23,DKI1 (Bunderan HI),30.0,20.0,32.0,7.0,13.0,5.0,32.0,SO2,BAIK
2021-11-24,DKI1 (Bunderan HI),35.0,23.0,30.0,8.0,12.0,6.0,35.0,PM25,BAIK
2021-11-25,DKI1 (Bunderan HI),57.0,39.0,34.0,10.0,11.0,7.0,57.0,PM25,SEDANG
2021-11-26,DKI1 (Bunderan HI),56.0,34.0,32.0,12.0,9.0,7.0,56.0,PM25,SEDANG
2021-11-27,DKI1 (Bunderan HI),37.0,30.0,30.0,10.0,8.0,5.0,37.0,PM25,BAIK
2021-11-28,DKI1 (Bunderan HI),20.0,19.0,29.0,5.0,14.0,4.0,29.0,SO2,BAIK
2021-11-29,DKI1 (Bunderan HI),28.0,23.0,30.0,7.0,12.0,5.0,30.0,SO2,BAIK
